Index,Name,Description,Pattern,Type,
13,purpose_code,"| **รหัสสาเหตุที่ออกเอกสารใหม่**
| **รหัสสาเหตุ : คำอธิบาย**
| DBNG01 มีการเพิ่มราคาค่าสินค้า (สินค้าเกินกว่าจำนวนที่ตกลงกัน)
| DBNG02 คำนวณราคาสินค้า ผิดพลาดต่ำกว่าที่เป็นจริง
| DBNG99 เหตุอื่น (ระบุสาเหตุ)
| DBNS01 การเพิ่มราคาค่าบริการ (บริการเกินกว่าข้อกำหนดทตกลงกัน)
| DBNS02 คำนวณราคาค่าบริการ ผิดพลาดต่ำกว่าที่เป็นจริง
| DBNS99 เหตุอื่น (ระบุสาเหตุ)
| CDNG01 ลดราคาสินค้าที่ขาย (สินค้าผิดข้อกำหนดที่ตกลงกัน)
| CDNG02 สินค้าชำรุดเสียหาย
| CDNG03 สินค้าขาดจำนวนตามที่ตกลงซื้อขาย
| CDNG04 คำนวณราคาสินค้าผิดพลาดสูงกว่าที่เป็นจริง
| CDNG05 รับคืนสินค้า (ไม่ตรงตามคำพรรณนา)
| CDNG99 เหตุอื่น (ระบุสาเหตุ)
| CDNS01 ลดราคาค่าบริการ (บริการผิดข้อกำหนดที่ตกลงกัน)
| CDNS02 ค่าบริการขาดจำนวน
| CDNS03 คำนวณราคาค่าบริการผิดพลาดสูงกว่าที่เป็นจริง
| CDNS04 บอกเลิกสัญญาบริการ
| CDNS99 เหตุอื่น (ระบุสาเหตุ)
| TIVC01 ชื่อผิด
| TIVC02 ที่อยู่ผิด
| TIVC99 เหตุอื่น (ระบุสาเหตุ)
| RCTC01 ชื่อผิด
| RCTC02 ที่อยู่ผิด
| RCTC03 รับคืนสินค้า / ยกเลิกบริการ ทั้งจำนวน (ระบุจำนวนเงิน) บาท
| RCTC04 รับคืนสินค้า / ยกเลิกบริการ บางส่วนจำนวน (ระบุจำนวนเงิน) บาท
| RCTC99 เหตุอื่น (ระบุสาเหตุ)",‘TIVC02’,string,
14,purpose_reason_other,กรณีเลือก purpose code เป็น เหตุผลอื่นๆ ให้ระบุข้อมูลที่ช่องนี้,,Text,
15,notes,เพิ่มเติม,,string,
16,state_draft,การแสดงเอกสารที่เป็น Draft (ไม่มีหมายเลขเอกสาร),,boolean,
17,customer_street,ที่อยู่ 1 ผู้ซื้อ,,string,R
18,customer_street2,ที่อยู่ 2 ผู้ซื้อ,,string,
19,customer_zip,รหัสไปรษณีย์,,string,R
20,customer_building_number,บ้านเลขที่,,string,R
21,customer_country_code,รหัสประเทศผู้ซื้อ,‘TH’,string,R
22,customer_country,ประเทศผู้ซื้อ,‘ประเทศไทย’,string,
23,customer_province_code,รหัสจังหวัดผู้ซื้อ,‘10‘,string,R
24,customer_state,จังหวัด,‘กรุงเทพฯ‘,string,
25,customer_district_code,รหัสอำเภอผู้ซื้อ,‘1010’,string,R
26,customer_city,อำเภอ/เขตผู้ซื้อ,‘บางรัก’,string,
27,customer_subdistrict_code,รหัสตำบลผู้ซื้อ,‘101004’,string,R
28,customer_subdistrict,ตำบล/แขวงผู้ซื้อ,‘สีลม’,string,
29,customer_vat,เลขประจำตัวผู้เสียภาษีผู้ซื้อ,,string,
30,customer_phone,เบอร์โทรศัพท์ผู้ซื้อ,,string,
31,customer_email,อีเมล์ผู้ซื้อ,,string,
32,customer_taxbranch_code,รหัสสาขาผู้ซื้อ,‘00000’,string,R
33,customer_taxbranch_name,ชื่อสาขาผู้ซื้อ,,string,R
34,customer_is_company,ตัวกำหนดลูกค้าว่าเป็นบริษัทหรือไม่,,boolean,
35,seller_street,ที่อยู่ 1 ผู้ขาย,,string,R
36,seller_street2,ที่อยู่ 2 ผู้ขาย,,string,
37,seller_zip,รหัสไปรษณีย์,,string,R
38,seller_building_number,บ้านเลขที่ผู้ขาย,‘111’,string,R
39,seller_country_code,รหัสประเทศผู้ขาย,‘TH’,string,R
40,seller_country,ประเทศผู้ขาย,,string,
41,seller_province_code,รหัสจังหวัดผู้ขาย,‘10’,string,R
42,seller_state,จังหวัดผู้ขาย,,string,
43,seller_district_code,รหัสอำเภอผู้ขาย,‘1010’,string,R
44,seller_city,อำเภอ/เขตผู้ขาย,,string,
45,seller_subdistrict_code,รหัสตำบลผู้ขาย,‘101003’,string,R
46,seller_subdistrict,ตำบล/แขวงผู้ขาย,,string,
47,seller_vat,เลขประจำตัวผู้เสียภาษีผู้ขาย,,string,
48,seller_phone,เบอร์โทรศัพท์ผู้ขาย,,string,
49,seller_fax,โทรสารผู้ขาย,,string,
50,seller_email,อีเมล์ผู้ขาย,,string,
51,seller_taxbranch_code,รหัสสาขาผู้ขาย,,string,R
52,seller_taxbranch_name,ชื่อสาขาผู้ขาย,,string,R
53,amount_untaxed,ราคารวมก่อนเสียภาษี,,float,R
54,amount_tax,ภาษี,,float,
55,amount_total,ราคารวมภาษี,,float,R
56,origin_id,ชื่อเอกสารในระบบ Docsign ใช้สำหรับกรณียกเลิกเอกสาร หรืออ้างอิงเอกสารเดิม,'RT2564/01-0004',string,
57,system_origin_name,ชื่อระบบต้นทาง,‘pabi2’,string,R
58,system_origin_number,หมายเลขเอกสารต้นทาง,‘RC200019200’,string,R
59,user_sign,ชื่อคนทำรายการ,,string,
60,validate_by,ชื่อคนอนุมัติให้ทำรายการ,,string,
61,validate_sign,ชื่อคนอนุมัติให้ทำรายการ (ลายเซ็น),,binary,
62,approved_by,ชื่อคนมีอำนาจให้ทำรายการ,,string,
63,payment_method,"วิธีการจ่ายเงิน
case
credit
transfer
cheque
rdx",‘cheque’,string,
64,check_no,หมายเลข cheque,‘1000033948’,string,
65,check_date,วันที่จ่าย cheque,‘2020-08-01’,string,
66,bank_name,ธนาคารที่ใช้จ่ายเงิน,‘BBL’,string,
67,bank_branch,สาขาของธนาคาร,‘สีลม ?’,string,
68,rdx_no,หมายเลขการใช้คูปองส่วนลด,‘RDF9K5J42’,string,
